region;municipality;settlement;oktmo;latitude_dd;longitude_dd;year;assets;assets_depreciation;assets_exhausted;assets_new;birth;build_flat;catering;catering_growth;collective_foreign;collective_people;collective_russian;comp_electr;comp_manufact;comp_mining;construction;crimes;criminals;death;doctors;doctors_per10;domesticserv;hospital_beds;hospital_beds_per10;hospitals;industry;invest_budg;invest_fed;invest_reg;investment;job_regist;job_regist_unempl;job_seeker;job_seeker_unempl;living_space;migration;n_companies;new_hospital_beds;new_housing;new_polycl_visits;new_preschool_places;new_school_places;nurses;nurses_per10;pens;pension;polycl_visits;polycl_visits_per10;polyclinic;pop_1_6;pop_old;pop_work;pop_young;population;preschool;preschool_child;preschool_coverage;preschool_places;preschool_waiting;pupils;retail;retail_growth;rni;schools;servises;volume_electr;volume_manufact;volume_mining;volume_water;wage;workers
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2003;NaN;NaN;NaN;NaN;10.2;2262.0;546.4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1539.1;18040.0;5701.0;13.7;5919.0;89.4;922.7;10.3;156.0;36.0;22436.5;11.5;5.2;NaN;5119.5;8585.0;3934.0;NaN;NaN;18.5;NaN;25485.0;270.0;208.0;300.0;0.0;0.0;9045.0;136.6;161.3;1813.0;22.0;332.3;60.0;30.8;116.1;425.5;94.2;662.2;152.0;20.4;NaN;19.1;NaN;69.2;27896.8;NaN;-3.5;120.0;6815.7;NaN;NaN;NaN;NaN;4668.8;217.9
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2004;NaN;NaN;NaN;NaN;10.7;1936.0;690.8;111.3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;16312.0;5873.0;13.5;5985.0;91.0;1188.9;10.8;165.0;37.0;NaN;9.2;5.6;NaN;5745.0;8542.0;3894.0;NaN;NaN;18.9;NaN;27503.0;0.0;186.5;0.0;0.0;180.0;9033.0;137.3;162.8;2103.3;22.6;342.7;62.0;32.4;116.4;423.6;91.2;658.0;152.0;21.1;63.0;20.6;NaN;64.2;33994.9;114.1;-2.8;117.0;8581.9;NaN;NaN;NaN;NaN;5211.0;235.8
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2005;NaN;NaN;NaN;NaN;10.6;2540.0;991.4;113.0;NaN;NaN;NaN;88.0;405.0;1.0;6513.1;25172.0;7064.0;14.0;6083.0;93.1;1506.0;10.7;164.0;36.0;NaN;8.1;4.7;NaN;8496.8;9720.0;5496.0;NaN;NaN;19.2;NaN;29825.0;123.0;227.1;56.0;0.0;1296.0;9045.0;138.4;164.0;2623.8;20.4;312.6;62.0;33.0;112.7;405.0;86.5;653.4;152.0;21.5;64.0;20.6;NaN;60.3;42115.9;112.5;-3.4;116.0;12542.6;12025.8;20147.2;0.2;NaN;6311.0;233.8
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2006;NaN;NaN;NaN;NaN;10.1;2971.0;1477.7;118.8;NaN;NaN;NaN;93.0;454.0;2.0;9637.9;29918.0;8190.0;13.0;6319.0;97.3;1981.3;10.7;165.4;36.0;NaN;14.0;9.1;NaN;12107.0;NaN;NaN;7962.0;4503.0;19.7;NaN;26981.0;0.0;250.3;0.0;0.0;0.0;9278.0;142.8;164.8;2925.2;23.4;360.5;62.0;34.7;114.5;400.5;85.1;649.7;152.0;22.7;60.0;19.5;NaN;57.4;55639.4;120.0;-2.9;112.0;15781.1;6049.7;23958.7;1.0;NaN;7696.0;239.4
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2007;NaN;NaN;NaN;NaN;10.7;4391.0;1992.8;114.0;NaN;NaN;NaN;106.0;473.0;2.0;13246.0;26500.0;7887.0;12.5;6445.0;99.5;2667.0;10.7;164.9;42.0;NaN;15.4;7.3;NaN;18572.8;NaN;NaN;6051.0;3721.0;20.3;NaN;28620.0;307.0;358.9;0.0;0.0;504.0;9414.0;145.3;165.1;3755.3;23.4;361.2;148.0;35.7;116.4;395.9;84.9;647.7;151.0;24.4;63.0;20.2;NaN;55.4;71125.3;116.0;-1.8;109.0;20357.7;15005.6;27165.7;0.4;NaN;9890.1;249.5
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2008;183875.433;27.9;3.8;NaN;11.8;4791.0;637.4;105.9;NaN;NaN;NaN;95.0;430.0;3.0;6492.7;21500.0;7287.0;12.4;6581.0;101.1;NaN;10.7;164.3;38.0;NaN;27.1;10.7;NaN;17832.3;NaN;NaN;6231.0;3021.0;20.7;NaN;30443.0;370.0;384.1;25.0;520.0;0.0;9651.0;148.3;166.5;4616.0;22.4;343.8;40.0;37.0;118.8;391.6;86.4;650.7;157.0;26.4;65.9;21.8;NaN;54.5;24469.1;148.9;-0.6;105.0;NaN;8568.8;29897.5;6.9;NaN;13917.0;181.4
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2009;204705.321;30.4;4.4;NaN;12.0;5262.0;410.0;56.2;NaN;NaN;NaN;90.0;406.0;3.0;3204.0;17937.0;6944.0;11.7;6673.0;102.4;NaN;10.6;162.8;34.0;NaN;30.2;15.4;NaN;13789.1;NaN;NaN;7385.0;6554.0;21.2;NaN;31347.0;0.0;389.9;1000.0;0.0;0.0;9702.0;148.9;169.8;6224.0;23.0;353.0;40.0;38.3;121.9;387.0;88.9;652.6;159.0;27.2;65.9;22.2;NaN;54.9;25380.2;92.5;0.3;104.0;NaN;10071.1;25216.5;0.02;NaN;15117.0;174.2
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2010;213598.2;33.4;5.7;15405.9;12.1;5722.0;452.0;102.6;NaN;NaN;NaN;91.0;385.0;2.0;4588.6;15463.0;6365.0;11.5;3314.0;49.4;NaN;5.6;83.6;19.0;NaN;26.0;14.1;NaN;16176.5;NaN;NaN;5305.0;4304.0;21.0;3542.0;31561.0;0.0;391.0;810.0;330.0;0.0;5858.0;87.3;174.1;7698.8;15.1;225.6;38.0;37.7;127.7;397.3;88.0;671.2;160.0;28.3;NaN;23.1;16131.0;NaN;30187.7;114.5;0.6;NaN;NaN;11820.1;37013.1;NaN;NaN;16564.0;171.9
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2011;244844.8;35.6;9.9;20858.6;11.8;5591.0;369.4;77.0;NaN;NaN;NaN;81.0;360.0;4.0;6784.5;14248.0;5894.0;11.5;3370.0;49.5;NaN;5.8;85.2;19.0;NaN;27.4;14.4;NaN;22526.9;NaN;NaN;3551.0;3140.0;21.1;10002.0;30897.0;0.0;337.7;0.0;245.0;256.0;5990.0;87.9;176.9;8356.3;14.7;215.5;30.0;43.7;142.9;437.5;101.1;681.5;160.0;29.4;NaN;24.0;19636.0;NaN;36284.4;107.7;0.3;NaN;NaN;12032.5;37014.4;11.8;NaN;18574.6;169.8
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2012;278479.5;36.9;9.5;28649.5;12.8;4919.0;384.1;82.5;NaN;NaN;NaN;71.0;380.0;4.0;8375.1;12416.0;5611.0;11.7;3264.0;47.2;NaN;6.1;88.8;18.0;NaN;32.9;17.5;NaN;19033.8;NaN;NaN;2644.0;2336.0;21.3;8925.0;29765.0;165.0;355.2;510.0;365.0;825.0;6108.0;88.4;179.4;9216.5;15.4;222.8;28.0;45.1;146.5;439.2;105.4;691.1;161.0;31.2;NaN;25.9;25123.0;NaN;48076.7;113.2;1.1;NaN;NaN;12533.6;42210.9;NaN;NaN;21753.0;170.7
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2013;307051.5;40.0;9.9;27012.4;12.9;5637.0;487.5;116.5;NaN;NaN;NaN;74.0;384.0;2.0;7191.1;13467.0;5828.0;11.1;3241.0;46.6;NaN;6.1;88.1;20.0;NaN;26.8;10.5;9.8;18552.1;NaN;NaN;1977.0;1492.0;21.6;3331.0;31343.0;11.0;369.5;0.0;695.0;0.0;6196.0;89.1;183.3;10054.4;15.8;226.9;33.0;47.1;153.9;433.2;108.6;695.7;161.0;33.2;NaN;28.5;22946.0;NaN;55928.6;108.4;1.8;NaN;NaN;15516.9;48911.4;NaN;NaN;24449.4;171.4
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2014;282392.5;41.4;10.7;23352.9;12.9;7281.0;575.9;107.5;NaN;NaN;NaN;67.0;383.0;2.0;8299.3;13708.0;6247.0;10.9;3448.0;49.3;NaN;6.3;89.5;20.0;NaN;20.2;8.4;7.4;24678.4;NaN;NaN;1990.0;1391.0;22.1;2459.0;32112.0;77.0;453.1;250.0;330.0;0.0;6315.0;90.3;185.6;11077.1;17.1;244.5;38.0;48.9;157.5;429.4;112.7;699.6;160.0;34.9;NaN;30.9;NaN;NaN;62763.5;103.6;2.0;NaN;NaN;17508.3;49084.9;NaN;NaN;26523.4;169.8
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2015;298187.6;46.1;12.5;16755.6;13.7;10392.0;509.8;77.7;9986.0;146450.0;136464.0;69.0;373.0;1.0;8612.9;14748.0;6377.0;11.7;3460.0;49.4;NaN;6.3;89.9;22.0;NaN;32.2;9.7;17.1;18521.0;NaN;NaN;2347.0;1863.0;22.8;-667.0;33947.0;0.0;608.6;40.0;592.0;0.0;6772.0;96.7;190.6;12027.4;17.2;245.5;40.0;50.0;160.6;422.6;117.1;700.3;182.0;36.8;NaN;33.3;NaN;NaN;61360.3;84.5;2.0;NaN;NaN;20020.2;58496.9;NaN;NaN;27433.4;167.2
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2016;325985.8;48.0;14.4;18623.1;13.3;8132.0;683.7;NaN;9807.0;177511.0;167704.0;NaN;NaN;NaN;6125.7;14276.0;6775.0;11.1;3513.0;50.3;NaN;6.3;89.6;23.0;NaN;33.2;9.6;16.9;19215.7;NaN;NaN;2206.0;1770.0;23.4;-3781.0;33691.0;512.0;483.2;120.0;370.0;550.0;6719.0;96.3;194.1;12348.9;17.5;251.3;34.0;51.3;163.7;413.9;120.5;698.1;163.0;37.3;NaN;35.6;NaN;NaN;64330.1;NaN;2.2;NaN;NaN;18662.1;62448.1;NaN;3032.4;28937.3;163.5
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2017;352592.7;52.1;16.2;21368.4;11.9;6502.0;760.7;NaN;10346.0;197965.0;187619.0;NaN;NaN;NaN;4265.3;12761.0;6078.0;11.4;3532.0;50.7;NaN;6.1;87.0;20.0;NaN;27.3;8.4;12.0;19929.0;2100.0;1499.0;2100.0;1499.0;23.9;-2074.0;33173.0;0.0;381.8;0.0;0.0;550.0;6755.0;97.0;197.3;13238.3;17.4;249.6;34.0;52.2;166.6;407.1;122.7;696.4;157.0;34.1;NaN;34.8;NaN;NaN;73766.0;NaN;0.5;NaN;NaN;22139.4;68856.3;NaN;3788.1;31013.5;158.3
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2018;372610.1;50.9;19.7;31695.0;10.8;9433.0;850.4;NaN;9679.0;183280.0;173601.0;NaN;NaN;NaN;4501.2;NaN;NaN;11.4;3527.0;50.6;NaN;5.6;79.8;19.0;NaN;19.2;4.2;12.5;30257.9;1734.0;1375.0;NaN;NaN;24.5;813.0;31581.0;NaN;520.3;0.0;0.0;950.0;6335.0;90.9;200.5;13956.3;17.7;254.4;34.0;52.5;168.8;404.0;123.9;696.7;NaN;34.9;NaN;35.3;NaN;NaN;84061.1;NaN;-0.6;NaN;NaN;23380.3;74583.9;NaN;4450.6;34651.1;157.8
Алтайский край;Барнаул;Барнаул;01701000001;53.3480555555556;83.78;2019;430407.3;52.4;24.0;29633.6;9.8;8233.0;960.2;NaN;12009.0;188768.0;176759.0;NaN;NaN;NaN;5263.1;NaN;NaN;11.4;3625.0;52.0;NaN;5.4;77.5;20.0;NaN;24.3;5.6;14.7;31269.6;1572.0;1370.0;NaN;NaN;25.2;1350.0;29412.0;NaN;482.2;340.0;1135.0;550.0;6448.0;92.5;200.7;14727.9;18.4;263.3;35.0;51.5;162.6;410.2;124.2;697.0;NaN;35.1;NaN;36.4;NaN;NaN;86855.5;NaN;-1.6;NaN;NaN;21122.0;87569.4;NaN;4508.9;37855.1;157.2
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2000;NaN;NaN;NaN;NaN;8.7;NaN;101.3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;422.7;5734.0;3042.0;15.1;855.0;36.0;76.2;2.4;102.0;13.0;4259.0;7.6;1.0;NaN;448.6;3498.0;2307.0;NaN;NaN;18.7;NaN;4142.0;0.0;24.0;0.0;0.0;400.0;2398.0;102.0;63.1;NaN;6.2;263.0;23.0;NaN;NaN;NaN;NaN;235.3;46.0;5.1;NaN;5.1;NaN;29.9;2135.6;NaN;-6.4;46.0;621.0;NaN;NaN;NaN;NaN;1386.0;73.1
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2001;NaN;NaN;NaN;NaN;9.2;NaN;130.9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;456.9;6219.0;3025.0;15.3;829.0;35.0;98.4;2.4;101.0;13.0;5628.0;22.9;2.9;NaN;401.0;4151.0;3238.0;NaN;NaN;19.0;NaN;4500.0;28.0;32.0;0.0;0.0;250.0;2431.0;104.0;63.2;NaN;6.0;255.0;23.0;NaN;NaN;NaN;NaN;233.6;46.0;5.0;NaN;5.0;NaN;28.3;2936.4;NaN;-6.1;45.0;916.6;NaN;NaN;NaN;NaN;1986.0;72.8
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2002;NaN;NaN;NaN;NaN;9.6;258.0;165.6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;567.3;6005.0;2309.0;16.5;840.0;36.0;118.5;2.4;102.0;14.0;6151.0;8.8;2.5;NaN;474.7;4958.0;4154.0;NaN;NaN;19.3;NaN;4756.0;60.0;30.0;300.0;0.0;0.0;2406.0;103.8;63.4;1497.0;6.5;280.1;23.0;NaN;NaN;NaN;NaN;232.9;45.0;5.5;NaN;5.3;NaN;26.7;3552.2;NaN;-6.9;47.0;1235.9;NaN;NaN;NaN;NaN;2816.6;54.2
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2003;NaN;NaN;NaN;NaN;10.7;302.0;205.7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;769.6;7919.0;3191.0;16.2;817.0;35.1;133.0;2.4;102.0;14.0;6729.9;7.9;2.1;NaN;735.2;5430.0;4461.0;NaN;NaN;19.5;NaN;4937.0;0.0;30.5;0.0;0.0;0.0;2416.0;105.3;63.3;1784.0;6.5;281.0;23.0;11.8;44.2;148.4;36.8;231.1;45.0;5.3;NaN;5.2;NaN;24.9;4701.6;NaN;-5.5;47.0;1566.1;NaN;NaN;NaN;NaN;3482.9;51.5
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2004;NaN;NaN;NaN;NaN;10.3;158.0;235.8;100.9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6979.0;2491.0;16.8;867.0;37.8;156.5;2.5;108.0;14.0;NaN;6.9;5.8;NaN;791.8;5689.0;5012.0;NaN;NaN;19.8;NaN;5172.0;0.0;22.1;0.0;0.0;0.0;2675.0;116.7;63.3;2036.4;6.5;284.3;23.0;12.5;44.1;148.0;35.5;229.2;45.0;5.6;45.0;5.1;NaN;22.8;7551.7;150.4;-6.5;47.0;1728.2;NaN;NaN;NaN;NaN;4333.1;64.9
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2005;NaN;NaN;NaN;NaN;9.7;130.0;310.4;103.6;NaN;NaN;NaN;50.0;135.0;NaN;573.1;6633.0;2618.0;17.5;902.0;39.8;194.4;2.5;109.6;8.0;NaN;15.3;11.2;NaN;811.2;5467.0;5167.0;NaN;NaN;20.1;NaN;5502.0;0.0;18.9;0.0;0.0;0.0;2630.0;115.9;73.8;2536.5;6.5;286.9;27.0;13.0;44.2;146.8;34.3;226.8;44.0;5.6;44.0;5.0;NaN;21.3;8815.4;106.0;-7.8;48.0;2344.2;2726.9;6180.7;NaN;NaN;5290.2;65.1
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2006;NaN;NaN;NaN;NaN;9.8;133.0;392.2;100.7;NaN;NaN;NaN;53.0;153.0;1.0;724.8;6016.0;2539.0;15.9;948.0;42.2;211.0;2.5;111.1;13.0;NaN;19.5;10.0;NaN;812.7;NaN;NaN;4686.0;4223.0;20.3;NaN;4855.0;0.0;16.0;0.0;0.0;0.0;2658.0;118.4;73.8;2815.3;6.3;282.1;20.0;13.1;44.7;144.9;33.4;224.5;43.0;5.7;43.0;5.0;NaN;20.1;10610.9;105.4;-6.1;47.0;2699.6;3241.1;7255.6;NaN;NaN;6553.9;63.7
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2007;NaN;NaN;NaN;NaN;10.7;293.0;466.8;100.6;NaN;NaN;NaN;51.0;161.0;1.0;1493.8;5901.0;2246.0;15.4;931.0;41.8;249.5;2.5;112.1;14.0;NaN;19.9;9.6;NaN;1641.1;NaN;NaN;3366.0;3094.0;20.6;NaN;5242.0;62.0;29.6;30.0;0.0;0.0;2619.0;117.5;74.0;3628.8;6.4;285.4;34.0;13.3;45.4;142.9;33.1;222.9;43.0;6.4;48.0;5.5;NaN;19.1;13003.5;111.2;-4.7;43.0;2943.6;3255.8;7525.1;NaN;NaN;8105.4;63.1
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2008;14432.256;51.6;14.2;NaN;12.3;351.0;114.0;101.6;NaN;NaN;NaN;47.0;160.0;1.0;858.0;5359.0;1949.0;15.3;867.0;39.1;NaN;2.5;111.1;14.0;NaN;33.1;11.4;NaN;1822.9;NaN;NaN;3181.0;2820.0;20.8;NaN;5416.0;0.0;34.3;0.0;0.0;0.0;2495.0;112.6;74.1;4451.0;6.2;280.4;8.0;13.6;45.9;140.5;33.4;221.5;43.0;6.5;48.1;5.5;NaN;18.5;4818.2;107.9;-3.0;40.0;NaN;3904.3;9780.6;NaN;NaN;10771.0;49.3
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2009;18807.779;40.3;11.1;NaN;12.6;522.0;110.6;84.8;NaN;NaN;NaN;33.0;144.0;1.0;804.0;4348.0;1999.0;14.8;880.0;39.8;NaN;2.5;112.4;13.0;NaN;25.9;17.0;NaN;2791.7;NaN;NaN;4209.0;3738.0;21.1;NaN;5450.0;0.0;38.1;0.0;230.0;0.0;2532.0;114.6;74.7;5999.0;6.3;284.2;10.0;13.6;45.3;133.0;33.0;220.5;44.0;6.9;48.1;5.7;NaN;18.7;4810.1;89.0;-2.2;34.0;NaN;4361.5;14809.6;NaN;NaN;11845.0;48.3
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2010;19967.1;42.5;11.9;1817.9;12.1;242.0;112.9;95.0;NaN;NaN;NaN;31.0;141.0;1.0;615.9;3464.0;1589.0;15.5;658.0;30.0;NaN;1.8;83.6;8.0;NaN;34.3;22.3;NaN;1702.6;NaN;NaN;2412.0;2127.0;21.2;-595.0;5720.0;0.0;19.2;0.0;0.0;0.0;2012.0;91.8;75.7;7375.2;5.0;225.9;11.0;13.5;48.5;129.2;32.3;219.2;45.0;7.2;NaN;6.0;7494.0;NaN;5688.0;116.5;-3.4;NaN;NaN;6025.3;18199.8;NaN;NaN;13306.5;48.3
Алтайский край;Бийск;Бийск;01705000001;52.5391666666667;85.2138888888889;2011;23096.9;39.0;13.9;2399.8;12.1;508.0;128.9;102.6;NaN;NaN;NaN;31.0;146.0;2.0;850.4;3084.0;1408.0;14.8;673.0;31.1;NaN;1.9;86.5;6.0;NaN;27.4;15.8;NaN;2425.6;NaN;NaN;1684.0;1500.0;21.6;-1896.0;5786.0;0.0;33.1;0.0;0.0;0.0;2048.0;94.5;76.4;7986.4;4.7;218.6;9.0;14.6;51.0;131.4;34.3;216.7;45.0;7.4;NaN;6.3;6159.0;NaN;7435.6;104.7;-2.7;NaN;NaN;6971.4;20705.2;NaN;NaN;15008.6;49.1
